iter	Logloss
0	0.5982229368
1	0.5151798571
2	0.4536456675
3	0.4022256894
4	0.3579990938
5	0.3193293184
6	0.2805604716
7	0.251167415
8	0.2245093105
9	0.2022635862
10	0.1845309402
11	0.1742420019
12	0.162113095
13	0.1502671076
14	0.1364789481
15	0.1275579176
16	0.1184899494
17	0.1120788371
18	0.1049823042
19	0.0986116703
20	0.09370187591
21	0.08965670622
22	0.08602674081
23	0.08144511327
24	0.07707974509
25	0.07326757526
26	0.07022763575
27	0.06766664356
28	0.06502562849
29	0.06206379616
30	0.05974102108
31	0.05831695954
32	0.05594608324
33	0.05329314093
34	0.05184449388
35	0.04994150811
36	0.04777870513
37	0.04585936032
38	0.04460847318
39	0.04250155591
40	0.04136495319
41	0.04026976482
42	0.03941644626
43	0.03811775431
44	0.03691165868
45	0.03562637744
46	0.03469913966
47	0.03385786576
48	0.03270192896
49	0.03188483235
50	0.03093259997
51	0.03045351884
52	0.02947238103
53	0.02845657998
54	0.0280712021
55	0.02721103081
56	0.02653039463
57	0.02617105597
58	0.02569519564
59	0.02517176572
60	0.02488255185
61	0.02431098999
62	0.02363527049
63	0.02327940797
64	0.02288268397
65	0.0224914972
66	0.02187178309
67	0.02138202038
68	0.02087228982
69	0.02030420276
70	0.01990331115
71	0.01943625389
72	0.01911584929
73	0.01868914477
74	0.0183911204
75	0.01798540052
76	0.01763955247
77	0.01721115658
78	0.01694645305
79	0.0167120393
80	0.01646801125
81	0.01617833177
82	0.0157552936
83	0.01551744819
84	0.01530453117
85	0.01504882891
86	0.01483341455
87	0.01455349306
88	0.01433517931
89	0.01404480005
90	0.01373206271
91	0.01352094461
92	0.01333010596
93	0.01328265756
94	0.01303633854
95	0.012790589
96	0.01262299944
97	0.01233933685
98	0.01217422087
99	0.01192898484
